                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.1427,                 1.6286,                0.76235,                 1.1842,                0.89948,                0.68293,                0.80187,                0.55167,                0.70238,                0.46057,                0.49051,                0.26758,                 1.0243,                 1.4401,                 0.7942,                 1.1462,              0.0016594,              0.0016594,              0.0016594
                     46,                  1.209,                 1.8005,                0.83957,                 1.2107,                0.91682,                0.60976,                0.76303,                 0.5314,                0.72818,                0.45755,                0.45724,                 0.2529,                 1.0504,                 1.4186,                0.73205,                 1.1502,              0.0016515,              0.0016515,              0.0016515
                     47,                 1.1209,                  1.599,                0.79091,                 1.1651,                0.86078,                0.70732,                0.80392,                0.58115,                0.61144,                0.41463,                 0.3921,                0.25454,                 1.0701,                 1.3179,                0.73066,                 1.1395,              0.0016436,              0.0016436,              0.0016436
                     48,                 1.0698,                 1.6095,                0.73854,                 1.1459,                0.85807,                0.73171,                0.81277,                0.61371,                 0.5986,                0.41463,                0.40832,                0.25295,                 1.0132,                 1.3302,                0.70292,                 1.1465,              0.0016357,              0.0016357,              0.0016357
                     49,                 1.1256,                 1.6502,                0.78473,                 1.1502,                0.85511,                0.71989,                0.83568,                0.60153,                0.59493,                0.41463,                0.41505,                0.28488,                 1.0216,                 1.2763,                0.71945,                 1.1324,              0.0016278,              0.0016278,              0.0016278
                     50,                 1.1087,                 1.6411,                  0.757,                 1.1479,                0.90115,                0.66723,                0.80175,                 0.6103,                0.62581,                 0.4081,                 0.4009,                0.25135,                0.98149,                 1.2878,                0.75505,                 1.1219,              0.0016198,              0.0016198,              0.0016198
                     51,                 1.1983,                 1.6987,                0.82954,                  1.209,                0.96531,                0.67873,                0.81649,                0.59151,                0.57936,                0.39024,                 0.3731,                0.26759,                 1.1144,                 1.2814,                0.74389,                 1.1803,              0.0016119,              0.0016119,              0.0016119
                     52,                 1.2302,                  1.787,                0.84096,                 1.1878,                0.82021,                0.77892,                0.83943,                0.60272,                0.60013,                0.41463,                0.39062,                0.24354,                 1.0697,                 1.2731,                 0.7934,                 1.1534,               0.001604,               0.001604,               0.001604
                     53,                 1.1588,                 1.5753,                0.78408,                 1.1866,                0.91569,                0.79488,                0.86162,                0.62527,                0.62496,                0.41463,                0.39603,                0.27375,                0.98905,                 1.2285,                0.71506,                 1.1122,              0.0015961,              0.0015961,              0.0015961
                     54,                 1.1887,                 1.6373,                0.78521,                 1.1878,                0.90394,                0.68872,                0.84878,                0.60796,                 0.6071,                0.39024,                0.38371,                 0.2641,                 1.0476,                 1.2912,                0.73967,                 1.1502,              0.0015882,              0.0015882,              0.0015882
                     55,                 1.0784,                 1.5599,                0.74928,                 1.1363,                0.96495,                0.67177,                0.84677,                0.59539,                0.67502,                0.41463,                0.46863,                0.30412,                 1.0234,                 1.3588,                 0.7481,                 1.1598,              0.0015802,              0.0015802,              0.0015802
                     56,                 1.0956,                 1.5052,                0.74697,                 1.1771,                0.97569,                0.65854,                0.83697,                 0.6036,                0.59938,                0.43793,                0.43937,                0.25833,                 1.0425,                 1.3824,                0.70715,                 1.1792,              0.0015723,              0.0015723,              0.0015723
                     57,                 1.1666,                  1.708,                0.85967,                 1.1864,                0.92378,                0.65854,                0.79728,                0.58318,                0.71087,                0.34146,                0.40444,                0.27073,                 1.0399,                 1.2854,                 0.7507,                 1.1543,              0.0015644,              0.0015644,              0.0015644
                     58,                  1.103,                 1.6817,                 0.7702,                 1.1714,                0.91099,                0.65854,                0.78088,                0.56619,                 0.7388,                0.34509,                0.40416,                 0.2671,                 1.0265,                 1.3598,                0.74724,                 1.1841,              0.0015565,              0.0015565,              0.0015565
                     59,                 1.1637,                  1.738,                0.82755,                  1.209,                0.99187,                0.65854,                0.81822,                0.58927,                0.56126,                0.43902,                0.40061,                0.25645,                 1.0101,                  1.416,                0.73235,                 1.1395,              0.0015486,              0.0015486,              0.0015486
                     60,                 1.1006,                  1.652,                0.76281,                 1.1924,                0.98169,                0.65854,                0.80893,                0.60515,                0.57174,                0.43902,                  0.398,                0.22051,                0.91726,                 1.2959,                0.72341,                 1.1017,              0.0015406,              0.0015406,              0.0015406
                     61,                   1.06,                 1.5959,                 0.7708,                 1.1438,                 0.9656,                0.65854,                0.81941,                0.61638,                0.56961,                0.39024,                0.37242,                0.23915,                 1.0011,                 1.3699,                0.71218,                 1.1372,              0.0015327,              0.0015327,              0.0015327
                     62,                 1.1879,                 1.7971,                0.81406,                 1.2032,                0.84143,                0.70732,                0.80428,                0.59332,                0.49254,                0.39024,                 0.3338,                0.23469,                  1.028,                 1.4171,                0.70538,                 1.1383,              0.0015248,              0.0015248,              0.0015248
                     63,                 1.0958,                 1.5614,                 0.7349,                 1.1402,                0.94998,                0.68293,                0.83785,                 0.6086,                0.50886,                0.41463,                0.35328,                0.23898,                 1.0388,                 1.3882,                0.72059,                 1.1555,              0.0015169,              0.0015169,              0.0015169
                     64,                 1.1093,                 1.5707,                0.77287,                 1.1511,                0.96543,                0.68111,                0.80873,                0.59936,                0.60387,                0.41463,                0.35854,                0.24687,                0.92839,                 1.4077,                0.70285,                 1.1102,               0.001509,               0.001509,               0.001509
                     65,                 1.1055,                 1.6066,                 0.7967,                 1.1538,                 0.7724,                0.74509,                0.83065,                0.60633,                0.58332,                0.39024,                0.42023,                0.28105,                0.94171,                 1.3536,                0.70344,                 1.1262,               0.001501,               0.001501,               0.001501
                     66,                 1.0207,                 1.5629,                0.68451,                 1.1063,                0.92253,                0.68293,                0.82796,                0.62791,                0.66658,                0.41463,                0.46517,                0.27279,                0.96294,                 1.2568,                0.66134,                 1.0993,              0.0014931,              0.0014931,              0.0014931
                     67,                  1.093,                 1.6035,                0.76226,                  1.152,                0.93586,                0.71187,                 0.8375,                0.61875,                0.64641,                 0.4878,                0.47896,                0.30283,                 0.9551,                 1.2843,                0.61361,                 1.0911,              0.0014852,              0.0014852,              0.0014852
